8118,タラの牛だしあん,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,,●,9
3934,豚バラ肉の豆乳ソースがけ,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,,9
3900,エビカツ,●,●,●,,,●,,,,●,,,,,,,,,,,,,●,,,,,,●,7
3892,鶏のから揚げ,●,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,,,5
3898,すき焼き風煮,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3902,鶏肉のタンドリー風焼き,,●,●,,,,,,,,,,,,,●,,,,,,,●,,,,,,,4
3899,トマトソースのチーズハンバーグ,●,●,●,,,,,,,,,,,,●,●,●,,,●,,,●,,,,,●,●,10
3929,カレイのねぎ塩焼き,,●,●,,,,,,,,,,●,,,●,●,,,,,,●,,,,,●,,7
3931,タラのみぞれかけ,●,●,●,,,●,●,,,,,,,,●,●,●,,,,,,●,,,,,●,,10
3893,和風カツの卵とじ,●,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,9
1321,みそカツ,●,●,●,,,,,,,,,,,,,●,●,,,●,,,●,,,,,●,●,9
3930,豚肉のタッカルビ風,●,●,●,,,,,,,,,,,,,●,●,,,,,,●,,,,,●,●,8
3927,焼きサバの梅ソースがけ,●,●,●,,,,,,,,,,●,,,,,,,,,,●,,,,,●,●,7
8097,赤魚の紅生姜あんかけ,●,●,●,,,,●,,,,,,,,,,,,,,,,●,,,,,●,●,7
8116,豆腐ハンバーグ麻婆ソース,●,●,●,,,,●,,,,,,,,●,●,●,,,,,,●,,,,,●,●,10
8087,カレイのバターポン酢きのこあん,●,●,●,,,,,,,,,,●,,,●,,,,,,,●,,,,,●,●,8
8083,広東風かに玉,●,●,●,,,,●,,,,,,,,●,●,●,,,,,,●,,,,,●,●,10
8105,メバルの幽庵焼き,,●,●,,,,,,,,,,,,●,●,●,,,,,,●,,,,,●,●,8
